tweet_id,tweet_text,created_at,author_id,sentiment_score,sentiment_label
1941056280086397294,Still Benlee #benlee #saunasuit #sweatsuit #nike #airforceone #sneakers #shiny #trackpants #trackies #nylonpants #sneakerhead #gearhead #gearfreak #nylonfreak #nylonfetish #gayguy #gayman #beardedgay #gaystyle #gayfashion #gearfetish #streetwear #streetstyle #sportswear https://t.co/BRUB1rJXbH,2025-07-04 08:47:34+00:00,1365904972412575744,0.0,neutral
1941054968263250234,"(9/11)
Real Examples, Real Skin in the Game

→ #Nike SWOOSH lets users co-create &amp; collect
→ Royal lets fans earn royalties with artists
→ Game developers #tokenizedassets that players can trade

This isn't a theory. It’s happening.",2025-07-04 08:42:22+00:00,1432279241102561290,0.0,neutral
1941054945194922045,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""HYPER VIOLET""

PREMIUM GOODS × AIR MAX 1 SP ""HYPER VIOLET""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/0bKWe7BCxd",2025-07-04 08:42:16+00:00,1760631478902497280,0.0,neutral
1941054900143902876,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""HYPER VIOLET""

PREMIUM GOODS × AIR MAX 1 SP ""HYPER VIOLET""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/0bKWe7BCxd",2025-07-04 08:42:05+00:00,1760631478902497280,0.0,neutral
1941054438351032678,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""WHITE SPORT RED""

PREMIUM GOODS × AIR MAX 1 SP ""WHITE SPORT RED""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/0bKWe7BCxd",2025-07-04 08:40:15+00:00,1760631478902497280,0.0,neutral
1941054375990120466,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""WHITE SPORT RED""

PREMIUM GOODS × AIR MAX 1 SP ""WHITE SPORT RED""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/0bKWe7BCxd",2025-07-04 08:40:00+00:00,1760631478902497280,0.0,neutral
1941054080136380625,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""WHITE SPORT RED""

PREMIUM GOODS × AIR MAX 1 SP ""WHITE SPORT RED""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/TWRYsmqAMu",2025-07-04 08:38:50+00:00,1760631478902497280,0.0,neutral
1941054034615717907,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""WHITE SPORT RED""

PREMIUM GOODS × AIR MAX 1 SP ""WHITE SPORT RED""

COLORWAY
""WHITE / SPORT RED / VARSITY ROYAL / HYPER VIOLET""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/TWRYsmqAMu",2025-07-04 08:38:39+00:00,1760631478902497280,0.0,neutral
1941053598252913022,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""FOREST GREEN""

PREMIUM GOODS × AIR MAX 1 SP ""FOREST GREEN""

COLORWAY
""WHITE / METALLIC SILVER / FOREST GREEN""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb   
@nikebasketball https://t.co/TWRYsmqAMu",2025-07-04 08:36:55+00:00,1760631478902497280,0.0,neutral
1941053551662584088,"PREMIUM GOODS × NIKE AIR MAX 1 SP ""FOREST GREEN""

PREMIUM GOODS × AIR MAX 1 SP ""FOREST GREEN""

COLORWAY
""WHITE / METALLIC SILVER / FOREST GREEN""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb   
@nikebasketball https://t.co/TWRYsmqAMu",2025-07-04 08:36:44+00:00,1760631478902497280,0.0,neutral
1941053304978788719,"PREMIUM GOODS × NIKE AIR MAX 1 ""FOREST GREEN""

PREMIUM GOODS × AIR MAX 1 ""FOREST GREEN""

COLORWAY
""WHITE / METALLIC SILVER / FOREST GREEN""

#NIKE
#PREMIUMGOODS
#PREMIUM_GOODS
#AIRMAX1
#AIR_MAX1

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb   
@nikebasketball https://t.co/TWRYsmqAMu",2025-07-04 08:35:45+00:00,1760631478902497280,0.0,neutral
